ID,DataRow ID,Labeled Data,Label,Created By,Project Name,Created At,Updated At,Seconds to Label,External ID,Agreement,Benchmark Agreement,Benchmark ID,Benchmark Reference ID,Dataset Name,Reviews,View Label
cke1m3e5z00003b5s4f8du9ja,cke1lnmbsml0h0bnu85ib0duw,https://storage.labelbox.com/cke1kcxjbp9i00791ta4mw0i4%2Fc18b0845-0c1b-70ca-7241-5c6cb0f40577-b_20.jpeg?Expires=1599186628475&KeyName=labelbox-assets-key-1&Signature=UuTohFlH0n-BAWq0-B3zGPkmRoM,"{""objects"":[{""featureId"":""cke1m39f103v20y7pduz0gz8r"",""schemaId"":""cke1lz3jk0kyn0y784h1d438l"",""title"":""collapse"",""value"":""collapse"",""color"":""#ff6200"",""bbox"":{""top"":100,""left"":41,""height"":22,""width"":23},""instanceURI"":""https://api.labelbox.com/masks/feature/cke1m39f103v20y7pduz0gz8r?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2Uxa2N4bDVwaGt5MDg4NGRtNGRidTR4Iiwib3JnYW5pemF0aW9uSWQiOiJja2Uxa2N4amJwOWkwMDc5MXRhNG13MGk0IiwiaWF0IjoxNTk3OTc3MDI4LCJleHAiOjE2MDA1NjkwMjh9.SBimAw-Xgn_1n7lLCxRGmP-BNstNL2sedrbJMp1NvZ8""}],""classifications"":[]}",slpitz@gmail.com,Bmore_roofs,1597855811000,1597856120000,5.854,b_20.jpeg,-1,-1,,,bmore_collapsed,[],https://editor.labelbox.com?project=cke1kfmvfpi6z0884x6qktutv&label=cke1m3e5z00003b5s4f8du9ja
cke1m3xg800013b5spp5zlh6x,cke1lnmbvml410bnu8b4l6k73,https://storage.labelbox.com/cke1kcxjbp9i00791ta4mw0i4%2F29e8b658-f0b1-15b9-85f4-1a637144b2c2-b_52.jpeg?Expires=1599186628480&KeyName=labelbox-assets-key-1&Signature=dyjE1_gP-J5XJinyczKXtwGOBbQ,"{""objects"":[{""featureId"":""cke1m3qgh0l0r0yai3kj03j9l"",""schemaId"":""cke1lz3jk0kyn0y784h1d438l"",""title"":""collapse"",""value"":""collapse"",""color"":""#ff6200"",""bbox"":{""top"":73,""left"":94,""height"":121,""width"":28},""instanceURI"":""https://api.labelbox.com/masks/feature/cke1m3qgh0l0r0yai3kj03j9l?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2Uxa2N4bDVwaGt5MDg4NGRtNGRidTR4Iiwib3JnYW5pemF0aW9uSWQiOiJja2Uxa2N4amJwOWkwMDc5MXRhNG13MGk0IiwiaWF0IjoxNTk3OTc3MDI4LCJleHAiOjE2MDA1NjkwMjh9.SBimAw-Xgn_1n7lLCxRGmP-BNstNL2sedrbJMp1NvZ8""},{""featureId"":""cke1m3v830f1f0yb43xi2dqa2"",""schemaId"":""cke1lz3jk0kyn0y784h1d438l"",""title"":""collapse"",""value"":""collapse"",""color"":""#ff6200"",""bbox"":{""top"":75,""left"":62,""height"":108,""width"":31},""instanceURI"":""https://api.labelbox.com/masks/feature/cke1m3v830f1f0yb43xi2dqa2?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2Uxa2N4bDVwaGt5MDg4NGRtNGRidTR4Iiwib3JnYW5pemF0aW9uSWQiOiJja2Uxa2N4amJwOWkwMDc5MXRhNG13MGk0IiwiaWF0IjoxNTk3OTc3MDI4LCJleHAiOjE2MDA1NjkwMjh9.SBimAw-Xgn_1n7lLCxRGmP-BNstNL2sedrbJMp1NvZ8""}],""classifications"":[]}",slpitz@gmail.com,Bmore_roofs,1597855836000,1597856124000,24.828999999999997,b_52.jpeg,-1,-1,,,bmore_collapsed,[],https://editor.labelbox.com?project=cke1kfmvfpi6z0884x6qktutv&label=cke1m3xg800013b5spp5zlh6x
cke1m4pca00023b5sqk3aec8w,cke1lnmbxml7l0bnu1c5eb4m5,https://storage.labelbox.com/cke1kcxjbp9i00791ta4mw0i4%2F919d538c-80bc-44f6-e8c5-607e3ea10acb-b_84.jpeg?Expires=1599186628481&KeyName=labelbox-assets-key-1&Signature=yThCD_N0p4M7VFNxs4pAodf13h0,"{""objects"":[{""featureId"":""cke1m4jqq0f3b0yb46eqa1mm3"",""schemaId"":""cke1lz3jk0kyn0y784h1d438l"",""title"":""collapse"",""value"":""collapse"",""color"":""#ff6200"",""bbox"":{""top"":141,""left"":94,""height"":51,""width"":25},""instanceURI"":""https://api.labelbox.com/masks/feature/cke1m4jqq0f3b0yb46eqa1mm3?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2Uxa2N4bDVwaGt5MDg4NGRtNGRidTR4Iiwib3JnYW5pemF0aW9uSWQiOiJja2Uxa2N4amJwOWkwMDc5MXRhNG13MGk0IiwiaWF0IjoxNTk3OTc3MDI4LCJleHAiOjE2MDA1NjkwMjh9.SBimAw-Xgn_1n7lLCxRGmP-BNstNL2sedrbJMp1NvZ8""}],""classifications"":[]}",slpitz@gmail.com,Bmore_roofs,1597855873000,1597856128000,4.703,b_84.jpeg,-1,-1,,,bmore_collapsed,[],https://editor.labelbox.com?project=cke1kfmvfpi6z0884x6qktutv&label=cke1m4pca00023b5sqk3aec8w
cke1m5u2x00033b5su3ge0u4x,cke1lnmbzmlb50bnuevje5up7,https://storage.labelbox.com/cke1kcxjbp9i00791ta4mw0i4%2Fcb7c8cac-8743-d2f5-911a-ad26fa143e34-b_116.jpeg?Expires=1599186628481&KeyName=labelbox-assets-key-1&Signature=79XRHbDNhAS_-pEyykLaLDVSnjs,"{""objects"":[{""featureId"":""cke1m4vo60f430yb41q0m34p5"",""schemaId"":""cke1lz3jk0kyn0y784h1d438l"",""title"":""collapse"",""value"":""collapse"",""color"":""#ff6200"",""bbox"":{""top"":38,""left"":7,""height"":110,""width"":27},""instanceURI"":""https://api.labelbox.com/masks/feature/cke1m4vo60f430yb41q0m34p5?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2Uxa2N4bDVwaGt5MDg4NGRtNGRidTR4Iiwib3JnYW5pemF0aW9uSWQiOiJja2Uxa2N4amJwOWkwMDc5MXRhNG13MGk0IiwiaWF0IjoxNTk3OTc3MDI4LCJleHAiOjE2MDA1NjkwMjh9.SBimAw-Xgn_1n7lLCxRGmP-BNstNL2sedrbJMp1NvZ8""},{""featureId"":""cke1m56xo041o0y7p4a2l2h7e"",""schemaId"":""cke1lz3jk0kyn0y784h1d438l"",""title"":""collapse"",""value"":""collapse"",""color"":""#ff6200"",""bbox"":{""top"":36,""left"":39,""height"":90,""width"":27},""instanceURI"":""https://api.labelbox.com/masks/feature/cke1m56xo041o0y7p4a2l2h7e?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2Uxa2N4bDVwaGt5MDg4NGRtNGRidTR4Iiwib3JnYW5pemF0aW9uSWQiOiJja2Uxa2N4amJwOWkwMDc5MXRhNG13MGk0IiwiaWF0IjoxNTk3OTc3MDI4LCJleHAiOjE2MDA1NjkwMjh9.SBimAw-Xgn_1n7lLCxRGmP-BNstNL2sedrbJMp1NvZ8""},{""featureId"":""cke1m5b1w0lg80zb51edf1kvf"",""schemaId"":""cke1lz3jk0kyn0y784h1d438l"",""title"":""collapse"",""value"":""collapse"",""color"":""#ff6200"",""bbox"":{""top"":46,""left"":70,""height"":77,""width"":22},""instanceURI"":""https://api.labelbox.com/masks/feature/cke1m5b1w0lg80zb51edf1kvf?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2Uxa2N4bDVwaGt5MDg4NGRtNGRidTR4Iiwib3JnYW5pemF0aW9uSWQiOiJja2Uxa2N4amJwOWkwMDc5MXRhNG13MGk0IiwiaWF0IjoxNTk3OTc3MDI4LCJleHAiOjE2MDA1NjkwMjh9.SBimAw-Xgn_1n7lLCxRGmP-BNstNL2sedrbJMp1NvZ8""},{""featureId"":""cke1m5gdp0lgs0zb5egooah9l"",""schemaId"":""cke1lz3jk0kyn0y784h1d438l"",""title"":""collapse"",""value"":""collapse"",""color"":""#ff6200"",""bbox"":{""top"":46,""left"":100,""height"":101,""width"":32},""instanceURI"":""https://api.labelbox.com/masks/feature/cke1m5gdp0lgs0zb5egooah9l?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2Uxa2N4bDVwaGt5MDg4NGRtNGRidTR4Iiwib3JnYW5pemF0aW9uSWQiOiJja2Uxa2N4amJwOWkwMDc5MXRhNG13MGk0IiwiaWF0IjoxNTk3OTc3MDI4LCJleHAiOjE2MDA1NjkwMjh9.SBimAw-Xgn_1n7lLCxRGmP-BNstNL2sedrbJMp1NvZ8""}],""classifications"":[]}",slpitz@gmail.com,Bmore_roofs,1597855925000,1597856134000,87.286,b_116.jpeg,-1,-1,,,bmore_collapsed,[],https://editor.labelbox.com?project=cke1kfmvfpi6z0884x6qktutv&label=cke1m5u2x00033b5su3ge0u4x
cke1m99en00003b5srn3s96t7,cke1lnmc2mlep0bnu855d4qpe,https://storage.labelbox.com/cke1kcxjbp9i00791ta4mw0i4%2F66160406-57f5-9fc5-5f49-2f469a04a525-b_148.jpeg?Expires=1599186628482&KeyName=labelbox-assets-key-1&Signature=gHU6RwyHOlZI7GN2ZA5JYymcLx0,"{""objects"":[{""featureId"":""cke1m8ywt0fgu0yb484d96nn8"",""schemaId"":""cke1lz3jk0kyn0y784h1d438l"",""title"":""collapse"",""value"":""collapse"",""color"":""#ff6200"",""bbox"":{""top"":153,""left"":42,""height"":39,""width"":89},""instanceURI"":""https://api.labelbox.com/masks/feature/cke1m8ywt0fgu0yb484d96nn8?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2Uxa2N4bDVwaGt5MDg4NGRtNGRidTR4Iiwib3JnYW5pemF0aW9uSWQiOiJja2Uxa2N4amJwOWkwMDc5MXRhNG13MGk0IiwiaWF0IjoxNTk3OTc3MDI4LCJleHAiOjE2MDA1NjkwMjh9.SBimAw-Xgn_1n7lLCxRGmP-BNstNL2sedrbJMp1NvZ8""}],""classifications"":[]}",slpitz@gmail.com,Bmore_roofs,1597856085000,1597856358000,17.345,b_148.jpeg,-1,-1,,,bmore_collapsed,[],https://editor.labelbox.com?project=cke1kfmvfpi6z0884x6qktutv&label=cke1m99en00003b5srn3s96t7
cke1m9rkc00013b5sxctwgsss,cke1lnmc3mli90bnuf4ccdc51,https://storage.labelbox.com/cke1kcxjbp9i00791ta4mw0i4%2Ffbde6d63-63b7-97b9-e816-0e7d82522592-b_180.jpeg?Expires=1599186628482&KeyName=labelbox-assets-key-1&Signature=tUSU193vkiZlriy_3WzJ9RPzmmg,"{""objects"":[{""featureId"":""cke1m9oxs0lt40zb5hjh0hrkf"",""schemaId"":""cke1lz3jk0kyn0y784h1d438l"",""title"":""collapse"",""value"":""collapse"",""color"":""#ff6200"",""bbox"":{""top"":78,""left"":106,""height"":25,""width"":15},""instanceURI"":""https://api.labelbox.com/masks/feature/cke1m9oxs0lt40zb5hjh0hrkf?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2Uxa2N4bDVwaGt5MDg4NGRtNGRidTR4Iiwib3JnYW5pemF0aW9uSWQiOiJja2Uxa2N4amJwOWkwMDc5MXRhNG13MGk0IiwiaWF0IjoxNTk3OTc3MDI4LCJleHAiOjE2MDA1NjkwMjh9.SBimAw-Xgn_1n7lLCxRGmP-BNstNL2sedrbJMp1NvZ8""}],""classifications"":[]}",slpitz@gmail.com,Bmore_roofs,1597856113000,1597856360000,5.421,b_180.jpeg,-1,-1,,,bmore_collapsed,[],https://editor.labelbox.com?project=cke1kfmvfpi6z0884x6qktutv&label=cke1m9rkc00013b5sxctwgsss
cke1mae5a00023b5swgiqnhn5,cke1lnmc5mllt0bnu2qxd7f2e,https://storage.labelbox.com/cke1kcxjbp9i00791ta4mw0i4%2Fb8855b96-e173-2198-d4b5-2b8c87fed9bd-b_212.jpeg?Expires=1599186628482&KeyName=labelbox-assets-key-1&Signature=MGJaVpUf79RzXCbbOMxWrQLgCsA,"{""objects"":[{""featureId"":""cke1ma4qs0ltp0y789p8tfv9j"",""schemaId"":""cke1lz3jk0kyn0y784h1d438l"",""title"":""collapse"",""value"":""collapse"",""color"":""#ff6200"",""bbox"":{""top"":74,""left"":76,""height"":21,""width"":44},""instanceURI"":""https://api.labelbox.com/masks/feature/cke1ma4qs0ltp0y789p8tfv9j?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2Uxa2N4bDVwaGt5MDg4NGRtNGRidTR4Iiwib3JnYW5pemF0aW9uSWQiOiJja2Uxa2N4amJwOWkwMDc5MXRhNG13MGk0IiwiaWF0IjoxNTk3OTc3MDI4LCJleHAiOjE2MDA1NjkwMjh9.SBimAw-Xgn_1n7lLCxRGmP-BNstNL2sedrbJMp1NvZ8""},{""featureId"":""cke1ma9cc0luu0zb59fmr09g3"",""schemaId"":""cke1lz3jk0kyn0y784h1d438l"",""title"":""collapse"",""value"":""collapse"",""color"":""#ff6200"",""bbox"":{""top"":101,""left"":85,""height"":20,""width"":33},""instanceURI"":""https://api.labelbox.com/masks/feature/cke1ma9cc0luu0zb59fmr09g3?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2Uxa2N4bDVwaGt5MDg4NGRtNGRidTR4Iiwib3JnYW5pemF0aW9uSWQiOiJja2Uxa2N4amJwOWkwMDc5MXRhNG13MGk0IiwiaWF0IjoxNTk3OTc3MDI4LCJleHAiOjE2MDA1NjkwMjh9.SBimAw-Xgn_1n7lLCxRGmP-BNstNL2sedrbJMp1NvZ8""}],""classifications"":[]}",slpitz@gmail.com,Bmore_roofs,1597856138000,1597856363000,7.522,b_212.jpeg,-1,-1,,,bmore_collapsed,[],https://editor.labelbox.com?project=cke1kfmvfpi6z0884x6qktutv&label=cke1mae5a00023b5swgiqnhn5
cke1mauuu00033b5sfi6e7jgx,cke1lnmc8mlpd0bnudlv96fjr,https://storage.labelbox.com/cke1kcxjbp9i00791ta4mw0i4%2F6beab8ef-1566-6b68-74bc-695128326119-b_244.jpeg?Expires=1599186628483&KeyName=labelbox-assets-key-1&Signature=uMkbOMpiUMXMZ569HHJaF9m_Oe4,"{""objects"":[{""featureId"":""cke1mamxf0llb0yaihnen7mhq"",""schemaId"":""cke1lz3jk0kyn0y784h1d438l"",""title"":""collapse"",""value"":""collapse"",""color"":""#ff6200"",""bbox"":{""top"":77,""left"":180,""height"":48,""width"":24},""instanceURI"":""https://api.labelbox.com/masks/feature/cke1mamxf0llb0yaihnen7mhq?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2Uxa2N4bDVwaGt5MDg4NGRtNGRidTR4Iiwib3JnYW5pemF0aW9uSWQiOiJja2Uxa2N4amJwOWkwMDc5MXRhNG13MGk0IiwiaWF0IjoxNTk3OTc3MDI4LCJleHAiOjE2MDA1NjkwMjh9.SBimAw-Xgn_1n7lLCxRGmP-BNstNL2sedrbJMp1NvZ8""},{""featureId"":""cke1maqwf0llt0yaig8sih5qm"",""schemaId"":""cke1lz3jk0kyn0y784h1d438l"",""title"":""collapse"",""value"":""collapse"",""color"":""#ff6200"",""bbox"":{""top"":93,""left"":101,""height"":47,""width"":26},""instanceURI"":""https://api.labelbox.com/masks/feature/cke1maqwf0llt0yaig8sih5qm?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2Uxa2N4bDVwaGt5MDg4NGRtNGRidTR4Iiwib3JnYW5pemF0aW9uSWQiOiJja2Uxa2N4amJwOWkwMDc5MXRhNG13MGk0IiwiaWF0IjoxNTk3OTc3MDI4LCJleHAiOjE2MDA1NjkwMjh9.SBimAw-Xgn_1n7lLCxRGmP-BNstNL2sedrbJMp1NvZ8""}],""classifications"":[]}",slpitz@gmail.com,Bmore_roofs,1597856160000,1597856365000,10.633,b_244.jpeg,-1,-1,,,bmore_collapsed,[],https://editor.labelbox.com?project=cke1kfmvfpi6z0884x6qktutv&label=cke1mauuu00033b5sfi6e7jgx
cke1mbafw00043b5s3vjju98g,cke1lnmc9mlsx0bnuc8fx7sy8,https://storage.labelbox.com/cke1kcxjbp9i00791ta4mw0i4%2F1fe6d767-63f6-ad33-5ee5-3c319098a7fd-b_276.jpeg?Expires=1599186628483&KeyName=labelbox-assets-key-1&Signature=70wVkD4fL6_kwDruLKYM02uSM0Y,"{""objects"":[{""featureId"":""cke1mb93y04ki0y7p82dz3cfa"",""schemaId"":""cke1lz3jk0kyn0y784h1d438l"",""title"":""collapse"",""value"":""collapse"",""color"":""#ff6200"",""bbox"":{""top"":99,""left"":80,""height"":31,""width"":52},""instanceURI"":""https://api.labelbox.com/masks/feature/cke1mb93y04ki0y7p82dz3cfa?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2Uxa2N4bDVwaGt5MDg4NGRtNGRidTR4Iiwib3JnYW5pemF0aW9uSWQiOiJja2Uxa2N4amJwOWkwMDc5MXRhNG13MGk0IiwiaWF0IjoxNTk3OTc3MDI4LCJleHAiOjE2MDA1NjkwMjh9.SBimAw-Xgn_1n7lLCxRGmP-BNstNL2sedrbJMp1NvZ8""}],""classifications"":[]}",slpitz@gmail.com,Bmore_roofs,1597856180000,1597856367000,19.214,b_276.jpeg,-1,-1,,,bmore_collapsed,[],https://editor.labelbox.com?project=cke1kfmvfpi6z0884x6qktutv&label=cke1mbafw00043b5s3vjju98g
cke1mbo3r00053b5snzovu1px,cke1lnmcbmlwh0bnuf5du5dbs,https://storage.labelbox.com/cke1kcxjbp9i00791ta4mw0i4%2F04328ee1-9574-21a8-a8fe-e2f6daef6564-b_308.jpeg?Expires=1599186628483&KeyName=labelbox-assets-key-1&Signature=6X3qYqMq9SRh1VjsOejLBeoN7Pw,"{""objects"":[{""featureId"":""cke1mbhdm04kz0y7p0tvj4xo7"",""schemaId"":""cke1lz3jk0kyn0y784h1d438l"",""title"":""collapse"",""value"":""collapse"",""color"":""#ff6200"",""bbox"":{""top"":77,""left"":96,""height"":46,""width"":29},""instanceURI"":""https://api.labelbox.com/masks/feature/cke1mbhdm04kz0y7p0tvj4xo7?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2Uxa2N4bDVwaGt5MDg4NGRtNGRidTR4Iiwib3JnYW5pemF0aW9uSWQiOiJja2Uxa2N4amJwOWkwMDc5MXRhNG13MGk0IiwiaWF0IjoxNTk3OTc3MDI4LCJleHAiOjE2MDA1NjkwMjh9.SBimAw-Xgn_1n7lLCxRGmP-BNstNL2sedrbJMp1NvZ8""},{""featureId"":""cke1mbn2m0fox0yb4735i0bbp"",""schemaId"":""cke1lz3jk0kyn0y784h1d438l"",""title"":""collapse"",""value"":""collapse"",""color"":""#ff6200"",""bbox"":{""top"":71,""left"":144,""height"":54,""width"":27},""instanceURI"":""https://api.labelbox.com/masks/feature/cke1mbn2m0fox0yb4735i0bbp?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2Uxa2N4bDVwaGt5MDg4NGRtNGRidTR4Iiwib3JnYW5pemF0aW9uSWQiOiJja2Uxa2N4amJwOWkwMDc5MXRhNG13MGk0IiwiaWF0IjoxNTk3OTc3MDI4LCJleHAiOjE2MDA1NjkwMjh9.SBimAw-Xgn_1n7lLCxRGmP-BNstNL2sedrbJMp1NvZ8""}],""classifications"":[]}",slpitz@gmail.com,Bmore_roofs,1597856198000,1597856368000,7.462,b_308.jpeg,-1,-1,,,bmore_collapsed,[],https://editor.labelbox.com?project=cke1kfmvfpi6z0884x6qktutv&label=cke1mbo3r00053b5snzovu1px
